f32, s = 0, e = 10000101, f = 00010100000000000000000
s = 0, e = 10000000101, f = 0001010000000000000000000000000000000000000000000000
s = 0, e = 10000000, f = 10010001111010111000011
s = 0, e = 10000000000, f = 1001000111101011100001010001111010111000010100011111
s = 0, e = 01111111, f = 00000000000000000000000
s = 0, e = 01111111111, f = 0000000000000000000000000000000000000000000000000000
s = 0, e = 00000000, f = 00000000000000000000000
s = 0, e = 00000000000, f = 0000000000000000000000000000000000000000000000000000
s = 1, e = 01111111, f = 00000000000000000000000
s = 1, e = 01111111111, f = 0000000000000000000000000000000000000000000000000000
s = 0, e = 10000000, f = 01011011111001110110110
s = 0, e = 10000000000, f = 0101101111100111011011001000101101000011100101011000
s = 0, e = 01111111, f = 10000000000000000000000
s = 0, e = 01111111111, f = 1000000000000000000000000000000000000000000000000000
s = 0, e = 10001100, f = 10000001110011010110111
s = 0, e = 10000001100, f = 1000000111001101011011100110001100011111100010100001
s = 0, e = 01111011, f = 11111001011100100100100
s = 0, e = 01111111011, f = 1111100101110010010001110100010100111000111011110011
s = 0, e = 10010010, f = 11101000010010000000000
s = 0, e = 10000010010, f = 1110100001001000000000000000000000000000000000000000
s = 0, e = 00000000, f = 00000000000000000000000
s = 0, e = 00000000000, f = 0000000000000000000000000000000000000000000000000000
s = 1, e = 00000000, f = 00000000000000000000000
s = 1, e = 00000000000, f = 0000000000000000000000000000000000000000000000000000
s = 0, e = 11111111, f = 00000000000000000000000
s = 0, e = 11111111111, f = 0000000000000000000000000000000000000000000000000000
s = 1, e = 11111111, f = 00000000000000000000000
s = 1, e = 11111111111, f = 0000000000000000000000000000000000000000000000000000
s = 0, e = 11111111, f = 10000000000000000000000
s = 0, e = 11111111111, f = 1000000000000000000000000000000000000000000000000000
s = 0, e = 00000000, f = 00000000000000000000001
s = 0, e = 00000000000, f = 0000000000000000000000000000000000000000000000000001
s = 1, e = 00000000, f = 00000000000000000000001
s = 1, e = 00000000000, f = 0000000000000000000000000000000000000000000000000001
s = 0, e = 11111110, f = 11111111111111111111111
s = 0, e = 11111111110, f = 1111111111111111111111111111111111111111111111111111
s = 1, e = 11111110, f = 11111111111111111111111
s = 1, e = 11111111110, f = 1111111111111111111111111111111111111111111111111111
s = 1, e = 11111110, f = 11111111111111111111111
s = 1, e = 11111111110, f = 1111111111111111111111111111111111111111111111111111
s = 0, e = 11111110, f = 11111111111111111111111
s = 0, e = 11111111110, f = 1111111111111111111111111111111111111111111111111111
s = 0, e = 11111111, f = 00000000000000000000000
s = 0, e = 11111111111, f = 0000000000000000000000000000000000000000000000000000
s = 0, e = 00000000, f = 00000000000000000000000
s = 0, e = 00000000000, f = 1000000000000000000000000000000000000000000000000000
